Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-21 09:13:31
==========================================================================================
Frame: 0120 | Processed: Yes  | TS(ms): 1784625189047 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 65.8, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0122 | Processed: Yes  | TS(ms): 1784625189113 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 01 | RepState: descending_mid  | HipStatus: Good Form  | Times(ms) -> MP: 63.6, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0124 | Processed: Yes  | TS(ms): 1784625189179 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 01 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 69.6, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0126 | Processed: Yes  | TS(ms): 1784625189245 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 01 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 70.3, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0128 | Processed: Yes  | TS(ms): 1784625189311 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 01 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 76.0, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0130 | Processed: Yes  | TS(ms): 1784625189377 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Low             | Hip: Good            | Reps: 01 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 68.5, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0132 | Processed: Yes  | TS(ms): 1784625189443 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.0) | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 69.0, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0134 | Processed: Yes  | TS(ms): 1784625189509 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: False] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: LOW             | HipStatus: Good Form  | Times(ms) -> MP: 70.4, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0136 | Processed: Yes  | TS(ms): 1784625189575 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 71.5, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0138 | Processed: Yes  | TS(ms): 1784625189641 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.1) | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 01 | RepState: ascending_mid   | HipStatus: Good Form  | Times(ms) -> MP: 70.3, Feat: 00.2, Predict: 03.2, States: 00.0
