Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 18:35:15
==========================================================================================
Frame: 0108 | Processed: Yes  | TS(ms): 1784572470261 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 130.6, Feat: 00.6, Predict: 00.0, States: 00.0
Frame: 0110 | Processed: Yes  | TS(ms): 1784572470327 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 133.7, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0112 | Processed: Yes  | TS(ms): 1784572470393 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 137.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0114 | Processed: Yes  | TS(ms): 1784572470459 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 131.9, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0116 | Processed: Yes  | TS(ms): 1784572470525 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 126.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0118 | Processed: Yes  | TS(ms): 1784572470591 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 142.5, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0120 | Processed: Yes  | TS(ms): 1784572470657 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 125.8, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0122 | Processed: Yes  | TS(ms): 1784572470723 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 127.6, Feat: 00.5, Predict: 00.0, States: 00.0
Frame: 0124 | Processed: Yes  | TS(ms): 1784572470789 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 138.7, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0126 | Processed: Yes  | TS(ms): 1784572470855 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 131.5, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0128 | Processed: Yes  | TS(ms): 1784572470921 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 143.6, Feat: 00.8, Predict: 00.0, States: 00.0
Frame: 0130 | Processed: Yes  | TS(ms): 1784572470987 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 139.6, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0132 | Processed: Yes  | TS(ms): 1784572471053 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 157.5, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0134 | Processed: Yes  | TS(ms): 1784572471119 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 143.0, Feat: 00.6, Predict: 00.0, States: 00.0
Frame: 0136 | Processed: Yes  | TS(ms): 1784572471185 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 140.1, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0138 | Processed: Yes  | TS(ms): 1784572471251 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 137.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0140 | Processed: Yes  | TS(ms): 1784572471317 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 140.1, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0142 | Processed: Yes  | TS(ms): 1784572471383 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 158.5, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0144 | Processed: Yes  | TS(ms): 1784572471449 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 141.2, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0146 | Processed: Yes  | TS(ms): 1784572471515 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 136.1, Feat: 00.3, Predict: 00.0, States: 00.0
